id,count,name
50,448,BD
56,1518,BE
854,332,BF
100,136,BG
70,57,BA
52,9,BB
60,6,BM
96,18,BN
68,758,BO
48,17,BH
108,25,BI
204,134,BJ
64,16,BT
388,36,JM
72,85,BW
882,3,WS
76,34114,BR
44,11,BS
112,100,BY
84,17,BZ
643,2270,RU
646,124,RW
688,183,RS
626,14,TL
638,34,RE
795,2,TM
762,12,TJ
642,2940,RO
316,7,GU
320,233,GT
300,4224,GR
226,2,GQ
312,37,GP
392,4460,JP
328,5,GY
831,2,GG
268,37,GE
826,11825,GB
266,50,GA
324,47,GN
304,2,GL
288,424,GH
512,46,OM
788,710,TN
400,92,JO
191,217,HR
332,66,HT
348,1420,HU
344,3409,HK
340,72,HN
862,581,VE
630,410,PR
275,107,PS
620,2378,PT
600,131,PY
368,245,IQ
591,241,PA
258,1,PF
598,33,PG
604,3160,PE
586,1798,PK
608,2626,PH
616,5398,PL
666,1,PM
894,80,ZM
732,3,EH
233,105,EE
818,454,EG
710,2719,ZA
218,4243,EC
380,9583,IT
704,465,VN
999,16847,ZZ
90,8,SB
28,47,EU
231,983,ET
706,29,SO
716,451,ZW
682,407,SA
724,10565,ES
232,4,ER
499,12,ME
498,51,MD
450,72,MG
504,703,MA
860,16,UZ
104,96,MM
466,65,ML
446,196,MO
496,84,MN
807,36,MK
480,10,MU
470,97,MT
454,133,MW
462,3,MV
474,2,MQ
478,35,MR
800,350,UG
458,1331,MY
484,24030,MX
376,884,IL
250,7775,FR
246,865,FI
242,26,FJ
238,4,FK
558,141,NI
528,3478,NL
578,563,NO
516,81,NA
548,1,VU
540,11,NC
562,46,NE
566,978,NG
554,1197,NZ
524,227,NP
520,1,NR
184,1,CK
383,18,XK
384,293,CI
756,1741,CH
170,12479,CO
156,131750,CN
120,495,CM
152,4645,CL
124,12332,CA
178,67,CG
140,4,CF
180,133,CD
203,1812,CZ
196,98,CY
188,761,CR
132,16,CV
192,169,CU
748,22,SZ
760,37,SY
417,22,KG
404,1010,KE
728,20,SS
740,10,SR
116,82,KH
222,354,SV
174,25,KM
678,13,ST
703,908,SK
410,12359,KR
705,133,SI
414,51,KW
686,512,SN
694,30,SL
690,3,SC
398,169,KZ
136,3,KY
702,1545,SG
752,2103,SE
729,74,SD
214,93,DO
212,2,DM
262,12,DJ
208,478,DK
276,5292,DE
887,43,YE
12,438,DZ
840,104353,US
858,472,UY
175,4,YT
422,116,LB
662,6,LC
418,24,LA
158,20556,TW
780,56,TT
792,6369,TR
144,155,LK
438,4,LI
428,69,LV
440,139,LT
442,86,LU
430,6,LR
426,9,LS
764,3611,TH
768,200,TG
148,15,TD
796,2,TC
434,43,LY
784,328,AE
20,18,AD
4,42,AF
660,6,AI
850,4,VI
352,19,IS
364,1615,IR
51,41,AM
8,40,AL
24,68,AO
990,3206,AP
61,2,AS
32,4471,AR
36,3930,AU
40,2061,AT
29,3,AW
356,8725,IN
834,322,TZ
31,41,AZ
372,624,IE
360,17710,ID
804,477,UA
634,53,QA
508,121,MZ
