id,count,name
50,693,BD
56,2511,BE
854,1006,BF
100,219,BG
70,93,BA
52,11,BB
60,7,BM
96,23,BN
68,1168,BO
48,19,BH
108,41,BI
204,259,BJ
64,80,BT
388,60,JM
72,136,BW
882,3,WS
76,53173,BR
44,13,BS
112,221,BY
84,20,BZ
643,5685,RU
646,175,RW
688,267,RS
626,41,TL
638,41,RE
795,7,TM
762,14,TJ
642,5446,RO
316,9,GU
320,290,GT
300,6224,GR
226,2,GQ
312,39,GP
392,8062,JP
328,11,GY
831,2,GG
268,44,GE
826,15034,GB
266,86,GA
324,88,GN
304,2,GL
288,919,GH
512,66,OM
788,1471,TN
400,125,JO
191,264,HR
332,84,HT
348,2321,HU
344,7116,HK
340,121,HN
862,707,VE
630,782,PR
275,125,PS
620,3795,PT
600,297,PY
368,437,IQ
591,327,PA
258,1,PF
598,141,PG
604,5396,PE
586,2962,PK
608,4110,PH
616,8198,PL
666,1,PM
894,185,ZM
732,6,EH
233,153,EE
818,797,EG
710,3612,ZA
218,7819,EC
380,13800,IT
704,700,VN
999,16856,ZZ
90,12,SB
28,47,EU
231,1347,ET
706,45,SO
716,645,ZW
682,726,SA
724,17155,ES
232,4,ER
499,16,ME
498,62,MD
450,117,MG
504,1109,MA
860,121,UZ
104,120,MM
466,96,ML
446,383,MO
496,188,MN
807,44,MK
480,33,MU
470,113,MT
454,273,MW
462,6,MV
474,3,MQ
478,52,MR
800,534,UG
458,2289,MY
484,38374,MX
376,1235,IL
250,11160,FR
246,1185,FI
242,29,FJ
238,4,FK
558,160,NI
528,5302,NL
578,737,NO
516,105,NA
548,1,VU
540,11,NC
562,72,NE
566,1581,NG
554,1707,NZ
524,575,NP
520,1,NR
184,1,CK
383,24,XK
384,496,CI
756,2583,CH
170,19520,CO
156,233324,CN
120,624,CM
152,7154,CL
124,16600,CA
178,86,CG
140,7,CF
180,301,CD
203,2682,CZ
196,126,CY
188,1243,CR
132,44,CV
192,266,CU
748,27,SZ
760,60,SY
417,27,KG
404,1448,KE
728,27,SS
740,16,SR
116,196,KH
222,455,SV
174,32,KM
678,19,ST
703,1519,SK
410,21815,KR
705,162,SI
414,73,KW
686,1022,SN
694,38,SL
690,3,SC
398,326,KZ
136,5,KY
702,3189,SG
752,3218,SE
729,107,SD
214,144,DO
212,2,DM
262,17,DJ
208,548,DK
276,6801,DE
887,57,YE
12,650,DZ
840,131765,US
858,791,UY
175,23,YT
422,139,LB
662,6,LC
418,32,LA
158,27142,TW
780,78,TT
792,9492,TR
144,704,LK
438,4,LI
428,108,LV
440,184,LT
442,105,LU
430,8,LR
426,15,LS
764,6429,TH
768,301,TG
148,47,TD
796,2,TC
434,59,LY
784,437,AE
20,28,AD
4,53,AF
660,8,AI
850,4,VI
352,23,IS
364,2299,IR
51,53,AM
8,63,AL
24,151,AO
990,3206,AP
61,2,AS
32,6200,AR
36,4711,AU
40,2615,AT
29,4,AW
356,16560,IN
834,539,TZ
31,71,AZ
372,795,IE
360,39073,ID
804,681,UA
634,75,QA
508,189,MZ
